rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,microsoft.com,Information Technology;Business
7,tiktokcdn.com,Content Servers;Social Networks
8,amazonaws.com,Technology
9,root-servers.net,Technology
10,googlevideo.com,Search Engines;Video Streaming
11,doubleclick.net,Advertisements
12,apple-dns.net,Content Servers
13,fbcdn.net,Social Networks
14,icloud.com,File Sharing
15,ui.com,Technology
16,akadns.net,Content Servers
17,amazon.com,Ecommerce
18,youtube.com,Video Streaming
19,akamai.net,Content Servers
20,tiktokv.com,Social Networks;Video Streaming
21,ring.com,Business;Photography
22,googleusercontent.com,Content Servers
23,cloudflare-dns.com,Content Servers
24,googlesyndication.com,Search Engines;Advertisements
25,akamaiedge.net,Content Servers
26,instagram.com,Social Networks
27,cloudfront.net,Content Servers;Science;Technology
28,gvt2.com,Content Servers
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,live.com,Technology;Webmail
31,ntp.org,Technology
32,bing.com,Search Engines
33,netflix.com,Movies;Video Streaming
34,office.com,Technology
35,cdn77.org,Content Servers
36,cloudflare.com,Technology
37,spotify.com,Audio Streaming
38,aaplimg.com,Information Technology;Content Servers;Technology
39,one.one,Information Technology
40,snapchat.com,Social Networks
41,ytimg.com,Content Servers
42,yahoo.com,News & Media
43,facebook-hardware.com,Content Servers
44,app-measurement.com,APIs
45,bytefcdn-oversea.com,
46,google-analytics.com,Business;Technology
47,ttlivecdn.com,Content Servers
48,trafficmanager.net,Content Servers
49,azure.com,Technology
50,msftncsi.com,Content Servers
51,amazon-adsystem.com,Advertisements
52,tiktokcdn-us.com,Content Servers
53,googleadservices.com,Advertisements
54,msn.com,News & Media
55,fastly.net,Information Security;Information Technology;Technology
56,twitter.com,Social Networks
57,cdninstagram.com,Content Servers
58,digicert.com,Information Security
59,office365.com,Technology
60,criteo.com,Business
61,pki.goog,Information Security
62,dns.google,Information Technology
63,microsoftonline.com,Technology
64,office.net,Content Servers
65,googletagmanager.com,Content Servers
66,unity3d.com,Gaming;Technology
67,gvt1.com,Content Servers
68,skype.com,Instant Messengers;Internet Phone & VOIP
69,ggpht.com,Content Servers
70,applovin.com,Gaming
71,roblox.com,Gaming;Safe for Kids
72,windows.net,Technology
73,linkedin.com,Professional Networking
74,gmail.com,Webmail
75,windowsupdate.com,Information Technology;Business
76,akamaized.net,Content Servers
77,rubiconproject.com,Advertisements
78,sharepoint.com,File Sharing;Technology
79,windows.com,Information Technology
80,sentry.io,Business
81,a2z.com,Content Servers
82,example.com,Technology
83,azureedge.net,Content Servers
84,bytefcdn-ttpeu.com,Content Servers
85,taboola.com,Business;Advertisements
86,samsung.com,Home & Garden;Technology
87,casalemedia.com,Advertisements
88,mzstatic.com,Information Technology;Technology
89,adnxs.com,Content Servers
90,2mdn.net,Content Servers
91,baidu.com,Search Engines
92,smartadserver.com,Advertisements
93,doubleverify.com,Business;Technology
94,amazon.dev,Content Servers
95,outlook.com,Webmail
96,pubmatic.com,Business;Technology
97,cdn-apple.com,Content Servers
98,a-msedge.net,Content Servers
99,lencr.org,Information Technology
100,nr-data.net,Content Servers
